,Date,rel_low,rel_high,rel_open,rel_close,rel_volume,time,low,high,open,close,volume
7435,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,05:40:00,9245.07,9280.0,9256.43,9248.84,125.33844772
7436,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,05:45:00,9236.0,9253.36,9248.84,9241.23,37.52658869
7437,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,05:50:00,9226.82,9250.69,9241.22,9247.35,48.07937861
7438,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,05:55:00,9238.8,9269.9,9247.35,9268.76,53.79260086
7439,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:00:00,9247.27,9268.76,9268.76,9247.28,32.38842748
7440,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:05:00,9219.74,9250.26,9247.28,9224.98,36.83772309
7441,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:10:00,9205.01,9230.46,9224.24,9223.09,39.24222507
7442,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:15:00,9210.0,9224.96,9223.08,9211.26,25.96147386
7443,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:20:00,9191.64,9220.93,9211.26,9202.01,43.77577442
7444,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:25:00,9183.51,9204.05,9202.01,9193.82,46.80356527
7445,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:30:00,9173.02,9199.98,9193.81,9173.03,37.98450643
7446,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:35:00,9155.0,9175.34,9173.02,9156.68,29.01938135
7447,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:40:00,9155.0,9173.35,9155.23,9169.01,16.8796012
7448,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:45:00,9097.18,9169.0,9169.0,9136.42,107.84267266
7449,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:50:00,9082.68,9134.1,9134.1,9088.7,62.00897184
7450,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,06:55:00,9033.67,9103.12,9088.69,9069.17,247.8895621
7451,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:00:00,8978.0,9073.35,9068.35,9040.89,355.37279297
7452,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:05:00,9033.32,9110.99,9042.82,9091.27,127.69524941
7453,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:10:00,9064.44,9093.81,9091.27,9075.4,47.51906126
7454,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:15:00,9007.91,9075.4,9075.4,9017.15,47.00793347
7455,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:20:00,8961.53,9020.0,9011.94,8987.85,219.10492058
7456,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:25:00,8984.49,9048.15,8984.49,9006.57,173.23391248
7457,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:30:00,8955.0,9008.22,9006.56,9000.81,130.62086215
7458,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:35:00,8999.3,9044.51,9004.55,9044.51,137.31244462
7459,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:40:00,9020.0,9063.55,9044.52,9020.0,78.43643093
7460,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:45:00,8997.91,9020.01,9020.01,9020.0,48.49380634
7461,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:50:00,9018.82,9043.42,9022.26,9038.73,45.18853989
7462,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,07:55:00,9005.05,9041.1,9038.65,9027.97,83.90129655
7463,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:00:00,9010.79,9027.97,9027.97,9025.87,41.72728438
7464,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:05:00,8987.42,9040.85,9025.86,8994.01,114.71600585
7465,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:10:00,8964.68,8999.06,8994.97,8979.39,49.1060117
7466,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:15:00,8977.9,9016.99,8983.88,8985.02,78.42723432
7467,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:20:00,8979.46,9014.47,8986.21,8993.11,77.339733
7468,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:25:00,8972.02,8999.95,8993.1,8984.39,86.99589462
7469,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:30:00,8975.12,9014.47,8983.55,8996.44,62.81513584
7470,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:35:00,8996.44,9026.06,8998.01,9018.5,44.5029143
7471,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:40:00,9016.01,9026.59,9018.15,9016.01,30.99813243
7472,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:45:00,9012.21,9035.06,9016.87,9012.22,52.90632276
7473,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:50:00,9000.24,9019.72,9012.22,9007.31,84.86259040000002
7474,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,08:55:00,8979.0,9013.82,9005.69,8981.01,89.68342367
7475,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:00:00,8950.0,9017.94,8981.22,8982.01,132.47267682
7476,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:05:00,8900.0,8986.52,8984.51,8900.19,219.09699033
7477,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:10:00,8888.0,8920.54,8906.68,8888.01,237.14449075
7478,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:15:00,8815.0,8902.99,8888.0,8818.22,396.77073338
7479,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:20:00,8788.0,8865.46,8815.57,8840.02,467.49717614
7480,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:25:00,8822.12,8864.89,8840.01,8864.89,135.26464589
7481,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:30:00,8851.87,8949.13,8864.89,8854.51,330.53528751
7482,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:35:00,8797.62,8855.83,8855.83,8819.74,206.96799186
7483,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:40:00,8752.0,8818.75,8816.89,8752.0,229.524163
7484,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:45:00,8602.0,8752.01,8752.01,8635.42,1651.90632556
7485,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:50:00,8635.42,8716.8,8635.42,8688.42,353.31013508
7486,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,09:55:00,8679.6,8756.79,8685.33,8728.18,259.75609886
7487,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:00:00,8720.49,8787.03,8728.18,8779.56,233.93634152
7488,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:05:00,8728.93,8783.98,8777.37,8740.03,140.25703354
7489,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:10:00,8680.0,8755.07,8739.94,8682.49,168.02976466
7490,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:15:00,8671.63,8709.15,8686.27,8705.64,151.37519216
7491,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:20:00,8700.0,8737.28,8705.64,8717.2,85.51512189
7492,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:25:00,8685.87,8734.6,8717.2,8697.47,116.10447495
7493,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:30:00,8673.38,8703.85,8693.43,8692.87,91.2778022
7494,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:35:00,8653.12,8691.86,8691.86,8658.02,176.48999525
7495,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:40:00,8647.02,8693.07,8658.91,8668.25,198.09430283
7496,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:45:00,8656.0,8679.81,8667.67,8663.45,73.14551458
7497,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:50:00,8655.0,8679.69,8663.45,8675.96,96.89646157
7498,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,10:55:00,8671.01,8722.35,8675.14,8716.6,138.09684544
7499,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:00:00,8708.13,8742.16,8717.51,8738.92,91.95353277
7500,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:05:00,8720.16,8747.58,8738.92,8729.87,113.33691249
7501,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:10:00,8728.73,8760.0,8728.91,8759.96,148.84220734
7502,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:15:00,8745.0,8763.75,8759.95,8745.01,77.08238644
7503,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:20:00,8732.63,8758.64,8745.01,8754.58,71.52817896
7504,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:25:00,8730.27,8757.87,8753.93,8730.27,60.59582686
7505,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:30:00,8727.1,8750.23,8730.26,8750.23,72.9781074
7506,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:35:00,8748.77,8769.72,8750.23,8767.12,51.96168289
7507,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:40:00,8761.49,8786.94,8767.12,8786.46,87.27909946
7508,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:45:00,8756.58,8786.02,8786.02,8781.2,86.89974143
7509,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:50:00,8781.21,8798.48,8781.21,8791.92,97.25299726
7510,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,11:55:00,8793.17,8834.3,8793.17,8825.36,235.28213964
7511,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:00:00,8813.75,8844.0,8825.36,8836.19,114.71989506
7512,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:05:00,8826.29,8855.82,8836.19,8832.5,110.99190938
7513,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:10:00,8797.2,8833.8,8832.5,8797.2,74.7681358
7514,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:15:00,8779.05,8803.94,8797.21,8780.44,127.1983327
7515,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:20:00,8774.14,8811.77,8779.44,8809.54,61.34250251
7516,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:25:00,8786.27,8813.6,8809.54,8790.32,69.88395357
7517,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:30:00,8786.9,8821.43,8788.38,8798.92,48.14372072
7518,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:35:00,8797.24,8812.89,8798.92,8811.28,34.642222600000004
7519,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:40:00,8802.45,8823.61,8811.27,8812.18,30.87735597
7520,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:45:00,8803.32,8815.91,8812.18,8806.96,48.82301053
7521,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:50:00,8800.56,8817.01,8806.95,8815.63,38.362064
7522,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,12:55:00,8814.29,8827.74,8818.8,8823.76,31.43842024
7523,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:00:00,8805.68,8823.76,8823.76,8805.68,106.10721433
7524,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:05:00,8790.99,8810.04,8805.69,8810.04,41.21683688
7525,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:10:00,8805.96,8830.48,8813.2,8830.11,18.05503738
7526,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:15:00,8828.7,8845.31,8828.7,8831.29,32.60513101
7527,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:20:00,8831.28,8850.0,8831.29,8846.28,40.3707112
7528,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:25:00,8832.42,8849.99,8846.27,8849.99,33.55260477
7529,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:30:00,8820.04,8849.99,8849.98,8825.31,40.68486371
7530,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:35:00,8800.0,8833.04,8825.31,8808.0,74.68999795
7531,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,13:40:00,8806.1,8815.46,8807.99,8815.04,21.14032382
